ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_coal,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.93,42.2,6877.76,43.07,6930.77,21.5,21.1,21.0,21.0,32.6,32.274,0.888165,39.8,102.59,81.117913,441.1,124.4,98.1,446.0,3600.0,3600.0,3.774,944.514771,783.658142,1312.0,16.67,1.23,0.85,80.01,0.87,0.05,7.86,637.89447,-2.59632,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.93,42.2,6877.76,43.07,6930.77,21.5,25.0,22.6,21.9,32.5,32.175,0.890325,40.5,102.37,80.943959,482.4,129.7,102.0,453.1,3900.0,3900.0,3.784,928.230835,779.318787,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.89,619.578003,-3.213057,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.93,42.2,6877.76,43.07,6930.77,21.5,24.2,23.1,20.4,33.4,33.066,0.875745,41.2,101.17,79.995119,537.9,138.3,107.7,469.1,4000.0,4000.0,3.929,990.24823,783.431702,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.89,618.634521,-1.115978375,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.4,42.2,6877.76,43.07,6930.77,21.5,21.1,21.5,20.7,32.8,32.472,0.882225,41.1,99.15,77.9319,537.4,135.5,108.0,468.6,3900.0,3900.0,3.949,989.230408,776.20105,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.89,642.997986,-3.467123,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.4,42.2,6877.76,43.07,6930.77,23.924999999999997,21.0,21.0,20.2,31.3,30.674,0.87156,40.4,99.56,78.25416,534.0,140.5,107.9,472.2,3900.0,3900.0,3.967,1003.795715,778.604553,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.89,647.914429,-3.607835,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.4,42.2,6877.76,43.07,6930.77,21.5,21.9,20.1,24.3,31.7,31.383,0.87912,41.6,100.8,79.2288,561.2,142.4,110.6,475.6,3900.0,3900.0,3.754,972.647827,773.512939,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.89,636.004883,-3.300604,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,21.4,42.2,6877.76,43.07,6930.77,21.5,18.4,22.9,18.4,30.6,30.294,0.883575,41.5,101.7,79.9362,578.9,146.8,112.0,480.2,4000.0,4000.0,3.764,954.584167,797.207336,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.83,666.179565,-4.421678,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.32,42.2,6877.76,43.07,6930.77,21.5,24.1,22.6,21.9,32.1,31.779,0.883035,41.7,101.47,80.851296,579.7,146.7,112.1,480.3,4000.0,4000.0,3.753,1012.844177,786.363098,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.83,722.827026,-4.189628,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.32,42.2,6877.76,43.07,6930.77,21.5,24.2,18.5,18.5,31.9,31.581,0.878715,39.8,101.52,80.891136,581.4,145.7,112.1,480.1,4000.0,4000.0,3.77,1000.401794,771.210144,1312.0,16.67,1.23,0.85,80.01,0.87,0.06,7.83,690.366516,-3.147931,0.45
2.09,16.8,3.22875,1.86,2.331215,0.504696,20.32,42.2,6877.76,43.07,6930.77,21.5,24.2,21.7,21.4,32.0,31.68,0.882225,39.1,100.43,80.022624,572.3,146.6,111.5,479.7,3900.0,3900.0,3.998,938.888916,762.460876,1309.0,16.69,1.24,0.76,79.87,0.87,0.06,7.83,727.622253,-3.752321,0.45
