ni_in,fe_in,cao_in,al2o3_in,s_m,bc,mc_kilnfeed,fc_coal,gcv_coal,fc_lcv,gcv_lcv,current_pry,current_sec1,current_sec2,current_sec3,load,realisasi_beban,rpm,kg_tco,charge_kiln,tdo,pry_p,sec_p,pry_v,sec_v,total_fuel,reductor_consume,t_tic162,t_tic163,metal_temp,ni_met,c_met,si_met,fe_met,s_met,ni_slag,fe_slag,t_kalsin,pic_161,loi_kalsin
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.24,39.38,6429.41,39.7,6539.87,21.5,21.0,20.7,19.5,31.86,31.5414,0.95742,43.2,109.22,84.929472,541.5,228.2,110.0,533.2,4200.0,5.55,997.89386,780.46582,1362.0,15.91,1.43,0.85,81.25,0.57,0.05,7.51,650.467957,-1.623077,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.24,39.38,6429.41,39.7,6539.87,21.5,21.3,21.4,21.6,24.48,24.2352,0.9612,43.2,110.39,85.839264,553.3,228.1,110.1,535.4,4400.0,5.43,988.989563,777.436584,1362.0,15.91,1.43,0.85,81.25,0.57,0.05,7.51,662.581116,-1.745112,0.0
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.24,39.38,6429.41,39.7,6539.87,21.5,20.5,20.7,21.8,32.47,32.47,0.96174,44.2,107.88,83.887488,544.1,233.3,110.4,530.3,4500.0,7.858,1009.27948,758.38678,1362.0,15.91,1.43,0.85,81.25,0.57,0.04,7.29,673.379761,-3.626601,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,24.42,39.38,6429.41,39.7,6539.87,21.5,22.5,23.0,21.0,33.74,33.4026,0.87453,45.1,103.07,77.900306,565.9,245.4,110.7,540.8,4600.0,4.996,993.356567,770.24762,1362.0,15.91,1.43,0.85,81.25,0.57,0.04,7.29,647.063293,-3.979823,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,24.42,39.38,6429.41,39.7,6539.87,21.5,21.0,20.3,21.4,31.44,31.44,0.87426,45.4,99.6,75.27768,502.8,273.3,104.1,472.0,4100.0,5.043,990.024597,798.842407,1362.0,15.91,1.43,0.85,81.25,0.57,0.04,7.29,631.754456,-4.058174,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,24.42,39.38,6429.41,39.7,6539.87,21.5,22.3,21.3,19.8,34.4,34.056,0.596025,56.6,74.33,56.178614,411.1,256.6,94.4,458.1,3800.0,3.556,992.529358,792.752808,1362.0,15.91,1.43,0.85,81.25,0.57,0.04,7.29,606.28302,-3.42499,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.09,43.32,6903.98,41.81,6684.19,21.5,21.6,21.4,20.8,31.57,31.2543,0.70389,43.9,80.2,62.48382,285.1,223.7,77.9,431.2,3200.0,4.098,916.015198,751.897888,1349.0,15.77,1.43,0.78,81.49,0.53,0.04,7.12,604.304138,-2.506008,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.09,43.32,6903.98,41.81,6684.19,21.5,18.6,20.8,19.5,35.25,35.25,0.78273,48.3,89.19,69.487929,406.6,241.8,93.9,445.8,3300.0,4.535,962.800659,764.091675,1349.0,15.77,1.43,0.78,81.49,0.53,0.04,7.12,617.313904,-2.296897,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.09,43.32,6903.98,41.81,6684.19,21.5,21.2,22.4,21.8,31.57,31.57,0.779895,48.5,90.18,70.259238,523.0,261.5,106.2,461.2,3800.0,4.531,951.342896,789.064331,1349.0,15.77,1.43,0.78,81.49,0.53,0.04,7.12,622.974792,-2.925235,0.27
2.09,16.8,3.4350000000000005,1.86,2.331215,0.504696,22.09,43.32,6903.98,41.81,6684.19,21.5,20.1,21.6,23.6,34.33,34.33,0.78273,48.7,90.18,70.259238,573.7,269.2,111.6,468.4,3900.0,4.55,978.453918,793.101135,1349.0,15.77,1.43,0.78,81.49,0.53,0.04,7.12,638.083496,-2.631034,0.27
